Cadena:
Hola mundo, esta es una cadena larga
Solo un array puede almacenar tantos bytes

Tamaño: 80 bytes

Direccion de memoria: 0xbefff54c    Valor: 0x48    =H
Direccion de memoria: 0xbefff54d    Valor: 0x6f    =o
Direccion de memoria: 0xbefff54e    Valor: 0x6c    =l
Direccion de memoria: 0xbefff54f    Valor: 0x61    =a
Direccion de memoria: 0xbefff550    Valor: 0x20    = 
Direccion de memoria: 0xbefff551    Valor: 0x6d    =m
Direccion de memoria: 0xbefff552    Valor: 0x75    =u
Direccion de memoria: 0xbefff553    Valor: 0x6e    =n
Direccion de memoria: 0xbefff554    Valor: 0x64    =d
Direccion de memoria: 0xbefff555    Valor: 0x6f    =o
Direccion de memoria: 0xbefff556    Valor: 0x2c    =,
Direccion de memoria: 0xbefff557    Valor: 0x20    = 
Direccion de memoria: 0xbefff558    Valor: 0x65    =e
Direccion de memoria: 0xbefff559    Valor: 0x73    =s
Direccion de memoria: 0xbefff55a    Valor: 0x74    =t
Direccion de memoria: 0xbefff55b    Valor: 0x61    =a
Direccion de memoria: 0xbefff55c    Valor: 0x20    = 
Direccion de memoria: 0xbefff55d    Valor: 0x65    =e
Direccion de memoria: 0xbefff55e    Valor: 0x73    =s
Direccion de memoria: 0xbefff55f    Valor: 0x20    = 
Direccion de memoria: 0xbefff560    Valor: 0x75    =u
Direccion de memoria: 0xbefff561    Valor: 0x6e    =n
Direccion de memoria: 0xbefff562    Valor: 0x61    =a
Direccion de memoria: 0xbefff563    Valor: 0x20    = 
Direccion de memoria: 0xbefff564    Valor: 0x63    =c
Direccion de memoria: 0xbefff565    Valor: 0x61    =a
Direccion de memoria: 0xbefff566    Valor: 0x64    =d
Direccion de memoria: 0xbefff567    Valor: 0x65    =e
Direccion de memoria: 0xbefff568    Valor: 0x6e    =n
Direccion de memoria: 0xbefff569    Valor: 0x61    =a
Direccion de memoria: 0xbefff56a    Valor: 0x20    = 
Direccion de memoria: 0xbefff56b    Valor: 0x6c    =l
Direccion de memoria: 0xbefff56c    Valor: 0x61    =a
Direccion de memoria: 0xbefff56d    Valor: 0x72    =r
Direccion de memoria: 0xbefff56e    Valor: 0x67    =g
Direccion de memoria: 0xbefff56f    Valor: 0x61    =a
Direccion de memoria: 0xbefff570    Valor: 0xa    =

Direccion de memoria: 0xbefff571    Valor: 0x53    =S
Direccion de memoria: 0xbefff572    Valor: 0x6f    =o
Direccion de memoria: 0xbefff573    Valor: 0x6c    =l
Direccion de memoria: 0xbefff574    Valor: 0x6f    =o
Direccion de memoria: 0xbefff575    Valor: 0x20    = 
Direccion de memoria: 0xbefff576    Valor: 0x75    =u
Direccion de memoria: 0xbefff577    Valor: 0x6e    =n
Direccion de memoria: 0xbefff578    Valor: 0x20    = 
Direccion de memoria: 0xbefff579    Valor: 0x61    =a
Direccion de memoria: 0xbefff57a    Valor: 0x72    =r
Direccion de memoria: 0xbefff57b    Valor: 0x72    =r
Direccion de memoria: 0xbefff57c    Valor: 0x61    =a
Direccion de memoria: 0xbefff57d    Valor: 0x79    =y
Direccion de memoria: 0xbefff57e    Valor: 0x20    = 
Direccion de memoria: 0xbefff57f    Valor: 0x70    =p
Direccion de memoria: 0xbefff580    Valor: 0x75    =u
Direccion de memoria: 0xbefff581    Valor: 0x65    =e
Direccion de memoria: 0xbefff582    Valor: 0x64    =d
Direccion de memoria: 0xbefff583    Valor: 0x65    =e
Direccion de memoria: 0xbefff584    Valor: 0x20    = 
Direccion de memoria: 0xbefff585    Valor: 0x61    =a
Direccion de memoria: 0xbefff586    Valor: 0x6c    =l
Direccion de memoria: 0xbefff587    Valor: 0x6d    =m
Direccion de memoria: 0xbefff588    Valor: 0x61    =a
Direccion de memoria: 0xbefff589    Valor: 0x63    =c
Direccion de memoria: 0xbefff58a    Valor: 0x65    =e
Direccion de memoria: 0xbefff58b    Valor: 0x6e    =n
Direccion de memoria: 0xbefff58c    Valor: 0x61    =a
Direccion de memoria: 0xbefff58d    Valor: 0x72    =r
Direccion de memoria: 0xbefff58e    Valor: 0x20    = 
Direccion de memoria: 0xbefff58f    Valor: 0x74    =t
Direccion de memoria: 0xbefff590    Valor: 0x61    =a
Direccion de memoria: 0xbefff591    Valor: 0x6e    =n
Direccion de memoria: 0xbefff592    Valor: 0x74    =t
Direccion de memoria: 0xbefff593    Valor: 0x6f    =o
Direccion de memoria: 0xbefff594    Valor: 0x73    =s
Direccion de memoria: 0xbefff595    Valor: 0x20    = 
Direccion de memoria: 0xbefff596    Valor: 0x62    =b
Direccion de memoria: 0xbefff597    Valor: 0x79    =y
Direccion de memoria: 0xbefff598    Valor: 0x74    =t
Direccion de memoria: 0xbefff599    Valor: 0x65    =e
Direccion de memoria: 0xbefff59a    Valor: 0x73    =s
Direccion de memoria: 0xbefff59b    Valor: 0x0    =
